grado,frac_lambda,lambda,n_features,rmse_train_medio,rmse_val_medio,coefs_no_nulos_medio
2,0.3,2863.70135170,44,7279.782056,7337.449522,4.0000
2,0.1,954.56711723,44,5272.832953,5314.956026,4.8000
2,0.03,286.37013517,44,4879.776963,4955.279386,10.0000
2,0.01,95.45671172,44,4773.227415,4928.462122,23.6000
2,0.003,28.63701352,44,4746.233258,4959.545263,33.0000
3,0.3,2863.70135170,164,6995.039264,7038.663667,5.2000
3,0.1,954.56711723,164,5209.824821,5253.880337,6.4000
3,0.03,286.37013517,164,4822.301052,4943.490190,18.4000
3,0.01,95.45671172,164,4634.237174,4967.771260,53.4000
3,0.003,28.63701352,164,4529.377044,5121.834547,83.8000
4,0.3,2863.70135170,494,6991.020349,7041.881103,6.6000
4,0.1,954.56711723,494,5199.943422,5249.413319,7.8000
4,0.03,286.37013517,494,4761.784231,4919.966833,26.4000
4,0.01,95.45671172,494,4427.633111,4946.547294,80.4000
4,0.003,28.63701352,494,4192.932183,5366.707210,153.2000
